Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Excluded_subj
1,1,1,7,0.85,1.3,0
1,1,1,8,0.75,2.25,0
1,2,2,5,0.7,1.584,0
1,1,2,4,0.717,1.184,0
1,2,1,8,0.6,1,0
1,2,2,6,0.8,1.85,0
1,1,1,7,0.917,0.7,0
1,2,2,5,0.8,1.217,0
1,1,1,9,0.7,1.684,0
1,1,2,5,0.75,0.584,0
1,2,2,6,0.7,1.317,0
1,1,1,8,0.567,0.867,0
1,1,1,9,0.583,2.567,0
1,1,1,7,0.9,0.9,0
1,1,1,5,0.933,1.867,0
1,2,1,3,0.817,1.117,0
1,1,1,4,0.733,0.834,0
1,1,1,6,0.883,1.4,0
1,1,1,7,0.633,1.7,0
1,1,1,7,0.6,1.134,0
1,2,NaN,NaN,NaN,NaN,0
1,2,2,4,0.533,2,0
1,1,1,8,0.683,1.15,0
1,1,1,7,0.6,1.184,0
1,2,2,5,0.917,1.65,0
1,2,2,3,0.717,1,0
1,2,2,4,0.867,1.267,0
1,1,2,1,0.917,1.05,0
1,2,2,5,0.9,1.417,0
1,2,2,5,0.967,0.9,0
1,2,2,6,0.867,1.45,0
1,2,2,2,1.1,1.55,0
1,1,1,7,0.867,1.4,0
1,2,2,4,0.733,2.05,0
1,2,2,1,1.133,2.417,0
1,1,1,8,0.7,1.517,0
1,2,2,8,0.7,1.584,0
1,1,1,5,0.95,1.7,0
1,1,NaN,NaN,NaN,NaN,0
1,2,2,5,0.617,1.25,0
1,1,2,6,0.767,1.717,0
1,1,2,2,0.867,1,0
1,2,2,8,0.7,0.967,0
1,1,1,6,0.867,1.05,0
1,2,2,8,0.567,1.134,0
1,1,1,5,0.817,1.517,0
1,1,2,3,1.017,1.167,0
1,2,1,6,0.75,1.817,0
1,2,1,4,0.933,1.617,0
1,2,2,5,0.75,2,0
1,1,1,6,0.9,1.934,0
1,2,2,6,0.633,2.117,0
1,2,2,3,1.1,0.784,0
1,2,1,5,0.733,1.917,0
1,2,2,6,0.783,0.934,0
1,2,1,7,0.65,2.384,0
1,1,1,6,0.583,1.984,0
1,1,1,6,0.683,0.95,0
1,2,1,3,0.767,2.334,0
1,2,2,6,0.883,0.767,0
1,2,2,4,0.767,1.134,0
1,1,1,8,0.683,2.267,0
1,2,2,4,0.817,0.884,0
1,2,2,6,0.717,1.167,0
1,1,2,4,0.783,0.817,0
1,1,1,8,0.95,0.717,0
1,2,2,5,1.05,0.817,0
1,2,2,6,0.867,0.867,0
1,2,1,4,1.033,1.55,0
1,1,1,8,0.7,1.084,0
1,1,1,9,0.817,1.55,0
1,1,1,4,1,0.934,0
