Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Trial_in_block
1,2,2,0.8,1.293,1.349,1
1,2,2,0.6,1.982,0.562,2
1,1,1,0.7,1.147,0.653,3
1,2,1,0.8,1.391,1.09,4
1,2,1,0.8,1.209,1.08,5
1,1,1,0.8,1.215,0.607,6
1,1,1,0.8,1.254,0.43,7
1,1,1,0.7,1.202,0.287,8
1,2,2,0.6,1.384,0.587,9
1,1,1,0.8,1.273,0.854,10
1,1,1,0.7,1.309,0.608,11
1,2,2,0.6,1.607,0.735,12
1,1,1,0.9,1.347,1.429,13
1,2,2,0.9,1.287,0.743,14
1,1,1,0.7,1.651,0.892,15
1,2,2,0.8,1.199,1.004,16
1,2,2,0.7,1.35,0.857,17
1,1,1,0.8,1.175,1.711,18
1,1,1,1,1.345,0.916,19
1,2,2,0.9,1.392,0.261,20
1,2,2,0.7,1.607,0.695,21
1,1,2,0.7,1.507,0.621,22
1,1,1,0.7,1.987,0.663,23
1,2,2,0.8,1.397,0.899,24
1,2,2,0.7,1.553,0.647,25
1,2,1,0.7,1.611,0.315,26
1,1,1,0.8,1.253,0.357,27
1,2,2,0.8,1.349,0.552,28
1,1,1,0.8,1.196,0.377,29
1,1,1,0.9,1.216,0.68,30
1,2,1,0.8,1.177,0.865,31
1,1,1,0.7,1.269,0.464,32
1,2,1,0.6,1.284,0.281,33
1,2,2,0.6,1.123,0.384,34
1,2,2,0.7,1.326,0.63,35
1,1,1,0.7,1.304,0.395,36
1,1,1,0.5,1.854,0.35,37
1,1,1,0.6,1.442,0.984,38
1,2,1,0.6,1.337,0.761,39
1,1,1,0.7,1.968,0.536,40
1,1,2,0.7,1.076,0.306,41
1,1,1,0.8,1.135,0.696,42
1,1,1,0.7,1.201,0.558,43
1,2,1,0.8,1.14,0.327,44
1,1,1,0.8,1.24,0.758,45
1,2,2,0.7,1.189,0.584,46
1,2,2,0.8,1.438,0.747,47
1,2,2,0.5,1.852,0.477,48
1,2,2,0.6,1.572,0.388,49
1,1,1,0.6,1.588,0.408,50
1,2,2,0.7,1.174,0.734,51
1,2,2,0.8,1.407,0.471,52
1,1,2,0.6,1.425,0.339,53
1,1,1,0.5,0.873,0.959,54
1,2,1,0.5,1.504,0.315,55
1,1,1,0.6,1.746,0.877,56
1,2,2,0.6,1.64,0.758,57
1,1,2,0.5,0.898,0.677,58
1,1,1,0.5,1.131,0.539,59
1,2,1,0.6,1.322,0.351,60
1,2,2,0.8,1.224,0.579,61
1,1,1,0.6,1.716,0.474,62
1,1,1,0.6,1.304,1.259,63
1,2,2,0.7,1.103,0.706,64
1,1,1,0.6,1.454,0.662,65
1,2,1,0.6,1.204,0.754,66
1,1,1,0.6,1.192,1.054,67
1,2,2,0.8,1.335,0.815,68
1,2,1,0.8,1.481,1.662,69
1,1,1,0.7,1.29,0.402,70
1,2,2,0.6,1.043,0.433,71
1,1,1,0.5,1.442,0.407,72
1,1,1,0.6,1.808,0.28,73
1,2,1,0.6,2.012,0.629,74
1,2,2,0.5,1.486,0.254,75
1,2,1,0.5,1.449,0.17,76
1,1,1,0.9,1.131,0.723,77
1,2,2,0.8,1.487,0.511,78
1,1,1,0.8,1.283,0.816,79
1,1,1,0.9,1.425,0.54,80
1,1,1,0.9,1.075,0.792,81
1,2,1,0.7,1.412,0.5,82
1,1,1,0.8,1.288,0.672,83
1,2,1,0.8,1.177,0.553,84
1,1,1,0.7,1.093,0.245,85
1,2,2,0.7,1.401,0.246,86
1,2,2,0.9,1.349,0.656,87
1,1,1,0.5,1.587,0.55,88
1,1,1,0.9,1.146,0.405,89
1,2,2,0.8,1.273,0.199,90
1,1,1,0.7,1.445,0.277,91
1,2,1,0.6,1.542,0.321,92
1,1,1,0.8,1.125,0.469,93
1,2,2,0.8,1.18,0.366,94
1,2,2,0.7,1.18,0.248,95
1,1,1,0.6,1.4,0.366,96
1,1,1,0.6,0.72,0.423,97
1,1,1,0.6,1.141,0.256,98
1,1,1,0.6,0.727,0.607,99
1,2,2,0.5,1.544,0.531,100
1,2,1,0.6,1.044,0.337,101
1,1,1,0.8,1.354,0.423,1
1,2,2,0.7,1.197,0.619,2
1,2,2,0.7,1.33,0.282,3
1,1,1,0.8,1.027,0.645,4
1,1,1,0.7,0.86,0.366,5
1,2,1,0.8,1.051,0.315,6
1,1,2,0.7,1.228,0.286,7
1,1,1,0.6,1.053,0.253,8
1,2,1,0.7,1.193,0.366,9
1,2,2,0.8,1.156,0.986,10
