Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,BlockNumber
1,0,0,2,2.452627729,1.032363042,0.126708972,1
1,1,1,3,2.830894874,0.553179763,0.126708972,1
1,1,1,2,0.973548788,1.720060365,0.126708972,1
1,0,0,2,1.054172784,0.487189104,0.126708972,1
1,1,1,3,2.207512989,0.296008064,0.126708972,1
1,0,0,3,1.085253666,0.383554806,0.126708972,1
1,0,1,4,2.857450894,0.424607422,0.126708972,1
1,0,0,3,1.187816063,0.375562093,0.126708972,1
1,1,0,2,1.884457525,0.904278941,0.126708972,1
1,0,0,2,0.920189078,1.151526451,0.126708972,1
1,0,0,3,0.781872471,0.248237066,0.126708972,1
1,1,1,3,1.337759097,0.647746721,0.126708972,1
1,0,0,4,0.834776555,0.72021441,0.126708972,1
1,1,1,3,2.339779752,0.504134329,0.126708972,1
1,0,0,3,0.869280915,1.120285367,0.126708972,1
1,0,0,2,1.447296989,2.095484957,0.126708972,1
1,0,0,3,0.847563315,0.3837397,0.126708972,1
1,1,1,3,1.0286402,0.591253545,0.126708972,1
1,0,0,3,1.578319948,0.584896983,0.126708972,1
1,1,1,4,1.829448032,0.591582519,0.126708972,1
1,0,1,3,1.646522444,0.496855353,0.126708972,1
1,1,1,3,2.194393827,0.432317885,0.126708972,1
1,0,0,2,1.364332972,0.712402917,0.126708972,1
1,0,0,3,2.146652915,0.408250555,0.126708972,1
1,0,1,3,1.614952894,0.479864487,0.126708972,1
1,0,0,2,1.436285533,0.375881658,0.126708972,1
1,1,1,3,1.771345355,0.376595551,0.126708972,1
1,0,0,2,1.823707861,1.248253786,0.126708972,1
1,0,0,2,1.026117836,1.583453691,0.126708972,1
1,1,1,3,1.643807211,0.608174842,0.126708972,1
1,0,1,2,2.060053736,1.071209908,0.126708972,1
1,0,0,2,0.715379394,0.503841912,0.126708972,1
1,0,0,3,3.792138957,0.496667033,0.126708972,1
1,1,1,3,1.02228158,0.386554249,0.126708972,1
1,0,0,3,0.789185389,0.287192645,0.126708972,1
1,0,0,3,0.846238702,0.335616369,0.126708972,1
1,0,0,3,0.965188547,0.312111612,0.126708972,1
1,1,1,4,1.696002013,0.400038263,0.126708972,1
1,1,1,4,2.493091187,0.528158281,0.126708972,1
1,0,0,4,1.928479129,0.664094194,0.126708972,1
1,1,1,3,1.412204696,0.567376886,0.126708972,1
1,1,1,3,1.853220971,0.392092755,0.126708972,1
1,1,1,3,1.181276285,0.288349171,0.126708972,1
1,0,0,1,3.625752467,0.247747532,0.126708972,1
1,1,1,1,2.078878585,0.383190648,0.126708972,1
1,1,0,2,1.422893394,2.519990447,0.126708972,1
1,0,0,NaN,3.337205139,NaN,0.126708972,1
1,1,1,3,0.987929282,0.61718439,0.126708972,1
1,0,1,3,2.130855201,0.440086992,0.126708972,1
1,1,NaN,NaN,NaN,NaN,0.126708972,1
1,1,NaN,NaN,NaN,NaN,0.126708972,1
1,0,0,2,2.19076016,1.535451221,0.126708972,1
1,0,0,2,3.296587111,1.280007025,0.126708972,1
1,1,1,3,0.909107051,0.935114968,0.126708972,1
1,1,1,3,0.642823991,0.791362022,0.126708972,1
1,1,1,3,0.592502227,1.295796349,0.126708972,1
1,1,1,3,0.612705056,1.871894498,0.126708972,1
1,0,0,3,0.627826932,0.447353616,0.126708972,1
1,1,1,3,0.717832747,1.312314016,0.126708972,1
1,0,0,3,1.813086668,0.72008942,0.126708972,1
1,1,1,4,3.195016403,0.303772702,0.126708972,1
1,0,0,4,1.108811662,0.655901905,0.126708972,1
1,0,0,4,1.078590359,2.503366471,0.126708972,1
1,1,1,3,1.893543902,0.775460626,0.126708972,1
1,0,0,3,1.373306046,0.391959085,0.126708972,1
1,1,1,3,1.991846619,0.287845585,0.126708972,1
1,0,0,2,1.01428645,1.815115604,0.126708972,1
1,1,1,2,0.889475866,0.383658323,0.126708972,1
1,1,1,2,1.299821702,0.248051066,0.126708972,1
1,0,0,1,1.628876859,0.263547477,0.126708972,1
1,0,0,2,1.608754903,0.313053468,0.126708972,1
1,1,1,3,1.373085759,0.311264288,0.126708972,1
1,1,1,3,2.025462122,2.055128781,0.126708972,1
1,0,0,3,2.150706763,0.959512156,0.126708972,1
1,0,0,2,1.462798116,0.560876568,0.126708972,1
1,1,1,3,1.022480123,0.36897336,0.126708972,1
1,1,1,3,2.117018207,0.432186706,0.126708972,1
1,1,1,3,1.530535337,0.366943355,0.126708972,1
1,1,0,3,1.302631695,1.223684758,0.126708972,1
1,0,0,2,2.075993117,0.967950862,0.126708972,1
1,0,0,2,3.01472971,0.800227903,0.126708972,1
1,0,0,1,1.694164246,0.799795095,0.126708972,1
1,1,1,1,2.045727126,1.33599564,0.126708972,1
1,1,1,2,2.251805195,1.496413677,0.126708972,1
1,1,1,3,1.436523685,1.288220768,0.126708972,1
1,1,1,3,1.251038781,0.64829014,0.126708972,1
1,0,0,3,0.784614553,0.943016485,0.126708972,1
1,0,0,4,2.586397898,0.608454533,0.126708972,1
1,1,1,4,1.872938381,0.544146502,0.126708972,1
1,0,0,4,1.482228357,1.959308934,0.126708972,1
1,1,1,4,0.838771125,0.359143456,0.126708972,1
1,0,0,4,1.564626677,0.439611471,0.126708972,1
1,1,1,4,1.948529848,0.480781302,0.126708972,1
1,0,0,3,0.781899486,1.023990291,0.126708972,1
1,1,1,3,0.685906298,0.832059889,0.126708972,1
1,0,1,2,2.752358711,0.583357557,0.126708972,1
1,0,0,3,0.864822469,0.695054998,0.126708972,1
1,0,1,3,1.857218576,0.327098442,0.126708972,1
1,0,0,3,0.826397555,0.368505302,0.126708972,1
1,1,1,3,1.00874898,0.919130611,0.126708972,1
1,0,1,2,2.015468215,1.199583828,0.126708972,2
1,0,0,3,1.251828035,1.000032673,0.126708972,2
1,0,0,2,2.354246405,0.824324531,0.126708972,2
1,1,1,2,1.201561485,0.967577929,0.126708972,2
1,0,0,3,0.979185229,0.703615247,0.126708972,2
1,0,0,3,0.728003338,1.032374682,0.126708972,2
1,0,0,3,2.041159189,0.31202105,0.126708972,2
1,1,1,4,1.180965129,0.440536574,0.126708972,2
1,1,1,4,1.586383424,0.352655221,0.126708972,2
1,0,0,4,1.501915366,0.607541393,0.126708972,2
1,1,1,4,0.97040608,1.167819775,0.126708972,2
1,1,1,4,1.142733452,0.559613034,0.126708972,2
1,0,0,3,1.049443357,0.400232365,0.126708972,2
1,1,1,2,1.414507279,0.408674307,0.126708972,2
1,1,1,3,2.677114251,0.456855686,0.126708972,2
1,0,0,2,1.88504446,1.007760152,0.126708972,2
1,1,1,3,1.149567111,0.816317386,0.126708972,2
1,1,1,3,1.511662862,0.81572507,0.126708972,2
1,1,1,4,0.844341085,0.583932672,0.126708972,2
1,1,1,4,0.858248807,0.352329575,0.126708972,2
1,1,1,4,0.774927344,0.328321619,0.126708972,2
1,1,1,4,0.800614056,0.35241146,0.126708972,2
1,0,0,2,2.304390335,1.144074765,0.126708972,2
1,1,1,3,1.171639776,0.360931593,0.126708972,2
1,1,1,3,0.854042169,0.26427311,0.126708972,2
1,1,1,3,0.687140592,0.263557926,0.126708972,2
1,0,0,3,2.069820851,0.623799488,0.126708972,2
1,1,1,3,2.637503043,0.415493727,0.126708972,2
1,0,0,3,0.791560175,0.392719076,0.126708972,2
1,0,0,2,1.102349888,0.936294501,0.126708972,2
1,0,0,3,0.837694713,0.735244806,0.126708972,2
1,1,1,2,1.02960285,0.664030736,0.126708972,2
1,0,0,3,1.568775935,0.36767281,0.126708972,2
1,1,1,3,0.979970798,0.64039833,0.126708972,2
