Subj_idx,Stimulus,Response,Confidence,RT_decConf,Coherence,Condition,Accuracy,Block,Date
1,0,0,0.995891,2.573689,0.512,0,1,1,20150427
1,0,0,1,0.794602,0.512,0,1,1,20150427
1,1,0,0,0.981858,0,1,0,1,20150427
1,1,1,0.989616,1.648159,0.032,1,1,1,20150427
1,1,0,0,1.381704,0.064,1,0,1,20150427
1,1,1,0,1.38174,0,1,1,1,20150427
1,0,1,0.250343,1.141622,0,1,0,1,20150427
1,1,1,1,0.901688,0.512,1,1,1,20150427
1,1,1,1,0.768288,0.512,1,1,1,20150427
1,0,1,0.041377,1.355071,0,0,0,1,20150427
1,0,0,1,0.941208,0.128,1,1,1,20150427
1,1,0,0.016849,1.021684,0.128,1,0,1,20150427
1,0,0,1,0.781839,0.128,0,1,1,20150427
1,1,1,1,0.714535,0.256,0,1,1,20150427
1,1,0,0.080546,0.808468,0.032,0,0,1,20150427
1,0,1,0.249773,0.848407,0.032,0,0,1,20150427
1,0,0,0.334576,0.835001,0.256,0,1,1,20150427
1,1,1,0.614846,0.888299,0.128,0,1,1,20150427
1,0,0,1,0.795039,0.512,1,1,1,20150427
1,0,0,0.983531,0.861829,0.256,1,1,1,20150427
1,1,1,0.515782,1.04831,0.128,0,1,1,20150427
1,1,1,0.839594,0.661694,0.512,1,1,1,20150427
1,0,0,1,0.768896,0.256,1,1,1,20150427
1,1,1,0.201097,0.954977,0.256,0,1,1,20150427
1,1,1,0.639184,0.741657,0.256,1,1,1,20150427
1,1,1,0.903101,0.608309,0.128,0,1,1,20150427
1,0,0,1,0.608433,0.256,0,1,1,20150427
1,0,0,1,0.621611,0.128,0,1,1,20150427
1,0,0,0,1.061812,0.032,1,1,1,20150427
1,0,0,0.960334,0.568369,0.512,0,1,1,20150427
1,1,1,0.346555,0.648317,0.032,1,1,1,20150427
1,0,0,0.090814,0.795036,0,1,1,1,20150427
1,0,0,0.026736,0.700636,0.032,0,1,1,20150427
1,0,0,0.676072,0.808489,0.032,0,1,1,20150427
1,0,0,0.039095,0.874994,0.064,1,1,1,20150427
1,0,0,0.585944,1.634924,0.256,0,1,1,20150427
1,1,1,0.998553,0.755246,0.512,0,1,1,20150427
1,0,0,0.230759,0.728363,0.512,1,1,1,20150427
1,1,1,0.00487,0.888486,0,1,1,1,20150427
1,0,1,0.064194,0.755173,0,0,0,1,20150427
1,1,0,0.056018,0.995145,0.064,0,0,1,20150427
1,0,1,0.743002,1.074885,0.032,1,0,1,20150427
1,1,1,0.696037,0.754844,0.256,1,1,1,20150427
1,1,0,0.001828,0.848287,0,0,0,1,20150427
1,1,1,0.055638,0.715168,0.128,1,1,1,20150427
1,0,0,0.358154,0.714951,0.128,1,1,1,20150427
1,1,1,0.376218,0.634998,0.256,0,1,1,20150427
1,1,1,0.9822,0.555166,0.256,0,1,1,20150427
1,0,0,0.744333,0.768517,0.064,0,1,1,20150427
1,1,1,0.174096,0.688315,0,1,1,1,20150427
1,1,1,0.753459,0.714867,0.064,0,1,1,20150427
1,0,1,0.216118,0.661598,0,0,0,1,20150427
1,1,0,0.047462,0.541675,0.064,0,0,1,20150427
1,0,1,0.229808,0.795145,0.128,1,0,1,20150427
1,0,0,0.236653,0.648299,0.064,0,1,1,20150427
1,0,1,0.917932,0.662314,0.064,1,0,1,20150427
1,1,1,0.955581,0.568441,0.128,1,1,1,20150427
1,1,1,0.021793,0.635008,0,0,1,1,20150427
1,0,0,0.253576,0.675147,0.032,1,1,1,20150427
1,0,1,0.049173,0.795098,0.064,1,0,1,20150427
1,1,1,1,0.56861,0.512,1,1,1,20150427
1,0,0,1,0.48844,0.256,0,1,1,20150427
1,0,1,0.966229,0.608358,0,1,0,1,20150427
1,1,1,0.997602,0.554928,0.256,1,1,1,20150427
1,0,0,0.030159,0.661526,0.064,1,1,1,20150427
1,1,1,0.09861,0.661678,0.032,0,1,1,20150427
1,1,0,0.080166,0.715071,0.032,0,0,1,20150427
1,0,0,0.193301,0.67501,0.032,1,1,1,20150427
1,0,0,0.242357,0.701759,0.128,0,1,1,20150427
1,1,0,0.849862,0.701595,0.032,1,0,1,20150427
1,0,0,0.961095,0.608518,0.512,0,1,1,20150427
1,1,1,0.431549,0.688492,0.032,0,1,1,20150427
1,0,1,0.893214,0.634902,0.032,0,0,1,20150427
1,1,0,0.189118,0.768528,0.064,0,0,1,20150427
1,1,1,0.96756,0.6344,0.128,1,1,1,20150427
1,0,1,0.915841,0.635237,0,0,0,1,20150427
1,0,0,1,0.608601,0.128,1,1,1,20150427
1,0,1,0.262893,0.67512,0.064,0,0,1,20150427
1,1,1,1,0.554954,0.512,0,1,1,20150427
1,0,0,1,0.58118,0.512,1,1,1,20150427
1,1,0,0.041948,0.727353,0.064,1,0,1,20150427
1,1,1,0.99437,0.58168,0,0,1,1,20150427
1,1,0,1,0.648511,0.064,1,0,1,20150427
1,1,1,1,0.461852,0,0,1,1,20150427
1,1,1,1,0.501708,0.512,0,1,1,20150427
1,1,0,0.079025,0.581748,0.064,1,0,1,20150427
1,0,0,1,0.581751,0.256,1,1,1,20150427
1,0,0,0.98182,0.541534,0.128,0,1,1,20150427
1,1,1,0.990377,0.568073,0.032,1,1,1,20150427
1,0,0,1,0.754951,0.064,0,1,1,20150427
1,1,1,1,0.528372,0.256,1,1,1,20150427
1,1,1,1,0.488331,0.128,0,1,1,20150427
1,0,1,0.082828,1.315103,0,1,0,1,20150427
1,0,0,1,0.728262,0.256,1,1,1,20150427
1,0,0,0.997792,0.608341,0.512,1,1,1,20150427
1,1,1,1,0.541621,0.512,0,1,1,20150427
1,1,1,0.107737,0.90673,0.064,0,1,2,20150427
1,1,1,0.163258,1.4485,0.064,1,1,2,20150427
1,0,0,0.070089,1.088506,0,1,1,2,20150427
1,1,0,0.373936,1.474866,0.032,1,0,2,20150427
1,0,1,0.785403,1.128383,0.128,0,0,2,20150427
1,0,1,0.075222,1.128447,0,0,0,2,20150427
1,0,0,0.122378,1.435378,0.032,0,1,2,20150427
1,1,1,0.212315,0.781574,0,1,1,2,20150427
1,0,1,0.428507,0.674939,0,0,0,2,20150427
1,1,0,0.162117,0.795122,0.256,0,0,2,20150427
1,0,0,0.247872,0.674793,0.064,0,1,2,20150427
